Lower,Upper,Midpunkt,Bredde,Antall
3.5,10,,,
3.7,12.5,,,
3.6,11.5,,,
3.3,12,,,
3.6,12.5,,,
3.6,11,,,
3.5,11.2,,,
3.4,11.3,,,
3.6,11.7,,,
3.5,11.6,,,
3.6,12.7,,,
3.5,12.5,,,
3.4,12.2,,,
3.4,12,,,
3.3,11.9,,,
3.5,11.6,,,
3.6,12.5,,,
3.5,12,,,
3.7,10.8,,,
3.6,11.5,,,
3.6,11.7,,,
3.5,12,,,
3.6,13.4,,,
3.6,12.4,,,
3.6,11.8,,,
3.4,12.3,,,
3.5,11.5,,,
3.6,12.3,,,
3.6,12.8,,,
