Lower,Upper,Midpunkt,Bredde,Antall
3.7,10.7,,,
3.5,10.5,,,
3.6,10.8,,,
3.5,11.5,,,
3.5,10.9,,,
3.5,11,,,
3.5,12,,,
3.7,11,,,
3.6,10.6,,,
3.7,10.4,,,
3.4,11.2,,,
3.5,11.6,,,
3.6,10.4,,,
3.7,10.9,,,
3.8,11.1,,,
3.7,10.5,,,
3.8,1.4,,,
3.6,10.6,,,
3.6,11.1,,,
3.5,10.3,,,
3.5,10.8,,,
3.6,11.5,,,
3.7,11,,,
3.6,11.6,,,
3.5,11.2,,,
3.6,10.9,,,
3.6,11,,,
3.5,10.5,,,
3.5,10.5,,,
