Lower,Upper,Midpunkt,Bredde,Antall,Kumulativt Antall
129.75,130.25,130,0.5,2,2
124.75,125.25,125,0.5,3,5
119.75,120.25,120,0.5,8,13
114.75,115.25,115,0.5,5,18
109.75,110.25,110,0.5,8,26
104.75,105.25,105,0.5,3,29
99.75,110.25,100,0.5,1,30
