Span,Frekvens,Kumulativ frekvens
6.5,1,1
7.1000000000000005,1,2
7.4,1,3
7.699999999999999,1,4
7.9,3,7
8.0,1,8
8.1,4,12
8.200000000000001,1,13
8.5,2,15
8.6,1,16
8.600000000000001,1,17
8.7,1,18
8.700000000000001,2,20
8.799999999999999,1,21
8.8,2,23
8.9,3,26
9.0,1,27
9.1,1,28
9.200000000000001,1,29
9.8,1,30
